Nume,CodFiscal,Judet,Telefon,CodCAEN2021,DescriereCodCAEN2021,Ratio2021,Ratio2020,Ratio2019,Ratio2018,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
SC MUNDO PREST SRL,40325885,ALBA,-,4520,Întretinerea si repararea autovehiculelor,0.5469828740409579,0.20613390751103686,0.5187498521305037,0.12482269503546099,944823,516802,0.01%,7.0,535026.0,110287.0,0.01%,4520.0,Întretinerea si repararea autovehiculelor,1.0,84534.0,43852.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,705.0,88.0,0%,4520.0,Întretinerea si repararea autovehiculelor
AUTOMOB ALBA SRL,40382597,ALBA,-,4520,Întretinerea si repararea autovehiculelor,0.27619247300555616,0.2707107746150667,0.0,nan,286170,79038,0%,7.0,227442.0,61571.0,0%,4520.0,Întretinerea si repararea autovehiculelor,3.0,26935.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,nan,nan,nan,nan,nan,nan
S.C.HASEK FABUTOR SRL,37906675,HARGHITA,0753393197,4332,Lucrari de tâmplarie si dulgherie,0.4492140350877193,0.32290466521110894,0.97,nan,285000,128026,0.01%,4.0,157099.0,50728.0,0.01%,4332.0,Lucrari de tâmplarie si dulgherie,0.0,900.0,873.0,0%,4332.0,Lucrari de tâmplarie si dulgherie,nan,nan,nan,nan,nan,nan
BRB Electro Solution SRL,37674460,ALBA,-,4321,Lucrari de instalatii electrice,0.036914266041387526,0.17239008137507267,0.0,nan,429888,15869,0%,7.0,385376.0,66435.0,0%,4321.0,Lucrari de instalatii electrice,6.0,37320.0,0.0,0%,4321.0,Lucrari de instalatii electrice,nan,nan,nan,nan,nan,nan
SC DARMAR ELECTRIC SRL,38385273,SIBIU,0740209269,4321,Lucrari de instalatii electrice,0.04167390883487998,0.04804134839298412,1.3565430967685344,0.8940439514423303,707661,29491,0.01%,9.0,665177.0,31956.0,0.01%,4321.0,Lucrari de instalatii electrice,6.0,205201.0,278364.0,0%,4321.0,Lucrari de instalatii electrice,1.0,468062.0,418468.0,0%,4321.0,Lucrari de instalatii electrice
S.C. BROBUS S.R.L-D,37890242,HARGHITA,0747454167,4312,Lucrari de pregatire a terenului,0.03883339696771889,0.45450960082861924,0.003992977331696782,0.1608695652173913,162386,6306,0.01%,4.0,251020.0,114091.0,0.02%,4312.0,Lucrari de pregatire a terenului,1.0,64363.0,257.0,0%,8130.0,Activitati de întretinere peisagistica,0.0,2300.0,370.0,0%,8130.0,Activitati de întretinere peisagistica
CLEAN DENIMAR SRL,39883896,ALBA,-,4312,Lucrari de pregatire a terenului,0.0395194745333026,0.02102662075435004,0.22644891122278057,0.06665,173560,6859,0.01%,0.0,174826.0,3676.0,0.01%,4312.0,Lucrari de pregatire a terenului,5.0,59700.0,13519.0,0.02%,8122.0,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje ",5.0,20000.0,1333.0,0.01%,8122.0,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje "
UTILEXFIL CONS SRL,40123916,ALBA,-,4312,Lucrari de pregatire a terenului,0.18633854069990805,0.28281203002069266,0.0,nan,231659,43167,0.02%,5.0,275943.0,78040.0,0.02%,4312.0,Lucrari de pregatire a terenului,3.0,33500.0,0.0,0%,4312.0,Lucrari de pregatire a terenului,nan,nan,nan,nan,nan,nan
S.C.DYV EXCAVATOARE SRL,40532767,SIBIU,0756-969032,4312,Lucrari de pregatire a terenului,0.04225981762459537,0.06496922510389816,0.0,nan,185661,7846,0.01%,4.0,190090.0,12350.0,0.01%,4312.0,Lucrari de pregatire a terenului,3.0,38530.0,0.0,0%,4312.0,Lucrari de pregatire a terenului,nan,nan,nan,nan,nan,nan
MODULAR PLUS SRL,38027097,SIBIU,0753034423,4299,Lucrari de constructii a altor proiecte ingineresti n.c.a,0.08333833088670503,0.07762884042311043,0.10215976763765637,0.09334415852520193,10738588,894936,0.77%,17.0,6115472.0,474737.0,0.44%,4299.0,Lucrari de constructii a altor proiecte ingineresti n.c.a,16.0,1943172.0,198514.0,0.14%,4299.0,Lucrari de constructii a altor proiecte ingineresti n.c.a,6.0,1513753.0,141300.0,0.22%,7739.0,"Activitati de închiriere si leasing-ul altor masini, echipamente si bunuri tangibile"
SC ROCK PAVAJ SRL,40381206,ALBA,-,4211,Lucrari de constructii a drumurilor si autostrazilor,0.265588580870966,0.23672799418725035,0.01293372351030646,nan,1204295,319847,0.01%,25.0,1328115.0,314402.0,0.01%,4211.0,Lucrari de constructii a drumurilor si autostrazilor,9.0,155485.0,2011.0,0%,4211.0,Lucrari de constructii a drumurilor si autostrazilor,nan,nan,nan,nan,nan,nan
SC IMT RUE LINE S.R.L.,40584294,ALBA,-,4211,Lucrari de constructii a drumurilor si autostrazilor,0.5175885461522257,0.028935279950986343,0.053214285714285714,nan,2311817,1196570,0.01%,0.0,708374.0,20497.0,0%,4211.0,Lucrari de constructii a drumurilor si autostrazilor,1.0,39200.0,2086.0,0%,4211.0,Lucrari de constructii a drumurilor si autostrazilor,nan,nan,nan,nan,nan,nan
